iter	Passed	Remaining
0	1	1123
1	1	715
2	1	584
3	2	572
4	2	534
5	3	517
6	3	513
7	3	485
8	4	461
9	4	439
10	4	421
11	4	405
12	5	393
13	5	381
14	5	373
15	5	367
16	6	358
17	6	351
18	6	344
19	6	339
20	7	333
21	7	328
22	7	324
23	7	322
24	8	319
25	8	315
26	8	313
27	8	309
28	9	307
29	9	304
30	9	301
31	9	299
32	10	296
33	10	293
34	10	290
35	10	288
36	10	286
37	11	284
38	11	282
39	11	282
40	11	280
41	12	278
42	12	277
43	12	276
44	12	275
45	13	274
46	13	273
47	13	272
48	13	270
49	14	270
50	14	269
51	14	268
52	15	268
53	15	267
54	15	267
55	15	266
56	16	265
57	16	264
58	16	263
59	16	261
60	16	260
61	17	261
62	17	260
63	17	260
64	18	259
65	18	260
66	18	260
67	18	259
68	19	258
69	19	257
70	19	256
71	19	255
72	20	255
73	20	254
74	20	254
75	20	253
76	21	252
77	21	252
78	21	252
79	21	251
80	22	251
81	22	251
82	22	248
83	22	248
84	22	247
85	23	247
86	23	246
87	23	246
88	23	245
89	24	244
90	24	244
91	24	243
92	24	242
93	25	241
94	25	240
95	25	240
96	25	239
97	25	239
98	26	238
99	26	237
100	26	237
101	26	236
102	27	236
103	27	237
104	27	238
105	28	238
106	28	237
107	28	237
108	29	237
109	29	236
110	29	236
111	29	235
112	29	235
113	30	234
114	30	234
115	30	234
116	30	233
117	31	232
118	31	232
119	31	231
120	31	231
121	32	230
122	32	229
123	32	229
124	32	229
125	33	229
126	33	228
127	33	229
128	33	229
129	34	228
130	34	228
131	34	228
132	35	228
133	35	228
134	35	227
135	35	226
136	36	226
137	36	226
138	36	225
139	36	225
140	36	225
141	37	223
142	37	223
143	37	223
144	37	222
145	38	222
146	38	222
147	38	221
148	38	221
149	38	220
150	39	220
151	39	220
152	39	220
153	39	219
154	40	219
155	40	219
156	40	218
157	41	218
158	41	218
159	41	217
160	41	216
161	41	216
162	42	216
163	42	215
164	42	215
165	42	215
166	43	214
167	43	214
168	43	213
169	43	213
170	43	213
171	44	212
172	44	212
173	44	212
174	44	211
175	45	211
176	45	211
177	45	210
178	45	210
179	46	210
180	46	209
181	46	209
182	46	209
183	47	209
184	47	208
185	47	208
186	48	208
187	48	208
188	48	208
189	48	208
190	49	208
191	49	207
192	49	207
193	49	207
194	50	206
195	50	206
196	50	205
197	50	205
198	50	205
199	51	204
200	51	204
201	51	204
202	51	203
203	52	203
204	52	203
205	52	203
206	52	202
207	53	202
208	53	202
209	53	202
210	53	201
211	54	201
212	54	201
213	54	201
214	55	201
215	55	200
216	55	200
217	55	200
218	56	199
219	56	199
220	56	199
221	56	198
222	56	198
223	57	198
224	57	197
225	57	197
226	57	197
227	58	196
228	58	196
229	58	196
230	58	195
231	59	195
232	59	195
233	59	194
234	59	194
235	59	194
236	60	193
237	60	193
238	60	193
239	60	192
240	61	192
241	61	192
242	61	191
243	61	191
244	61	191
245	62	190
246	62	190
247	62	190
248	63	190
249	63	190
250	63	189
251	63	189
252	64	189
253	64	188
254	64	188
255	64	188
256	64	187
257	65	187
258	65	187
259	65	186
260	65	186
261	66	186
262	66	186
263	66	185
264	66	185
265	67	185
266	67	184
267	67	184
268	67	184
269	68	183
270	68	183
271	68	183
272	68	183
273	69	182
274	69	182
275	69	182
276	69	182
277	69	181
278	70	181
279	70	180
280	70	180
281	70	180
282	71	180
283	71	179
284	71	179
285	71	179
286	72	178
287	72	178
288	72	178
289	72	178
290	73	177
291	73	177
292	73	177
